id,name,category,method,garnish,history,note,simoxrate,link,imageurl,ingredients
67,"Ramos Fizz","The Unforgettables","Pour all ingredients except soda water in a cocktail shaker with ice, Shake for two minutes, double strain in a glass, pour the drink back in the shaker, and hard shake without ice for one minute. Strain into a highball glass, top up with soda.",NULL,"The drink was invented by Henry Ramos in 1888, at his bar Meyer's Table d'Hôtel Internationale in New Orleans. The Ramos Fizz was originally shaken for 12 minutes by a crew of 30 bartenders who passed the shaker from one to another.",NULL,6,"https://iba-world.com/ramos-fizz/","./img/cocktails/IBA-TU-25-Ramos-Fizz.jpg","45 ml Gin;15 ml Fresh Lime Juice;15 ml Fresh Lemon Juice;30 ml Sugar Syrup;60 ml Cream;30ml Egg White;3 Dashes Orange Flower Water;2 Drops Vanilla Extract;Top up Soda Water"
68,"Russian Spring Punch","New Era Drinks","Pour all ingredients into a cocktail shaker except the sparkling wine, shake well with ice, strain into a chilled tall tumbler glass filled with ice, and top up with sparkling wine.","Garnish with blackberries and optionally a lemon slice as well.",NULL,NULL,5,"https://iba-world.com/russian-spring-punch/","./img/cocktails/IBA-NE-17-Russian-Spring-Punch-1.jpg","25 ml Vodka;25 ml Fresh Lemon Juice;15 ml Creme de Cassis;10 ml Sugar Syrup;Top up Sparkling wine"
69,"Rusty Nail","The Unforgettables","Pour all ingredients directly into an old fashioned glass filled with ice. Stir gently.","Garnish with lemon zest.",NULL,NULL,5,"https://iba-world.com/rusty-nail/","./img/cocktails/IBA-TU-26-Rusty-Nail.jpg","45 ml Scotch Whisky;25ml Drambuie"
70,Sazerac,"The Unforgettables","Rinse a chilled old-fashioned glass with the absinthe, add crushed ice and set it aside. Stir the remaining ingredients over ice in a mixing glass. Discard the ice and any excess absinthe from the prepared glass, strain the mixed drink into the glass.","Garnish with lemon zest.",NULL,"The original recipe changed after the American Civil War, Rye Whiskey substituted Cognac as it became hard to obtain.",3,"https://iba-world.com/sazerac/","./img/cocktails/IBA-TU-27-Sazerac.jpg","50 ml Cognac;10 ml Absinthe;1 Sugar Cube;2 Dashes Peychaud’s Bitters"
71,"Sea Breeze","Contemporary Classics","Build all ingredients in a highball glass filled with ice.","Garnish with orange zest and cherry.",NULL,NULL,4,"https://iba-world.com/sea-breeze/","./img/cocktails/IBA-CC-26-Sea-Breeze-scaled.jpg","40 ml Vodka;120 ml Cranberry Juice;30 ml Grapefruit Juice"
72,"Sex on the Beach","Contemporary Classics","Build all ingredients in a highball glass filled with ice.","Garnish with a half orange slice.",NULL,NULL,4,"https://iba-world.com/sex-on-the-beach/","./img/cocktails/IBA-CC-27-Sex-On-The-Beach-scaled.jpg","40 ml Vodka;20 ml Peach Schnapps;40 ml Fresh Orange Juice;40 ml Cranberry Juice"
73,Sidecar,"The Unforgettables","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",NULL,NULL,NULL,5,"https://iba-world.com/sidecar/","./img/cocktails/IBA-TU-28-Side-Car-1.jpg","50 ml Cognac;20 ml Triple Sec;20 ml Fresh Lemon Juice"
74,"Singapore Sling","Contemporary Classics","Pour all ingredients into a cocktail shaker filled with ice cubes. Shake well. Strain into Hurricane glass.","Garnish with pineapple and maraschino cherry.",NULL,NULL,1,"https://iba-world.com/singapore-sling/","./img/cocktails/IBA-CC-28-Singapore-Sling-scaled.jpg","30 ml Gin;15 ml Cherry liqueur;7.5 ml Cointreau;7.5 ml DOM Be´ne´dictine;120 ml Fresh Pineapple Juice;15 ml Fresh Lime Juice;10 ml Grenadine Syrup;A dash Angostura Bitters"
75,Southside,"New Era Drinks","Pour all ingredients into a cocktail shaker, shake well with ice, double-strain into chilled cocktail glass.","Garnish with mint springs.",NULL,"If egg white is used shake vigorously.",10,"https://iba-world.com/southside/","./img/cocktails/IBA-NE-18-South-Side-1.jpg","60 ml London Dry Gin;30 ml Fresh Lemon Juice;15 ml Simple Syrup;5/6 Mint Leaves;Few Drops (Optional) Egg White"
76,"Spicy Fifty","New Era Drinks","Pour all ingredients into a cocktail shaker, shake well with ice, double-strain into chilled cocktail glass.","Garnish with a red chili pepper.",NULL,NULL,1,"https://iba-world.com/spicy-fifty/","./img/cocktails/IBA-NE-19-Spicy-Fifty-1.jpg","50 ml Vodka Vanilla;15 ml Elderflower Cordial;15 ml Fresh Lime Juice;10 ml Monin Honey Syrup;2 thin Slices Red Chili Pepper"
77,Spritz,"New Era Drinks","Build all ingredients into a wine glass filled with ice. Stir gently.","Garnish with a slice of orange.",NULL,"There are other versions of the Spritz that use Campari, Cynar or Select instead of Aperol.",9,"https://iba-world.com/spritz/","./img/cocktails/IBA-NE-20-Spritz_ok.jpg","90 ml Prosecco;60 ml Aperol;Splash Soda Water"
78,Stinger,"The Unforgettables","Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.","Optional mint leave.",NULL,NULL,2,"https://iba-world.com/stinger/","./img/cocktails/IBA-TU-29-Stinger.jpg","50 ml Cognac;20 ml White Creme de Menthe"
79,"Suffering Bastard","New Era Drinks","Pour all ingredients into a cocktail shaker except the ginger beer, shake well with ice, Pour unstrained into a Collins glass or in the original Suffering Bastard mug and top up with ginger beer.","Garnish with mint springs and optionally an orange slice as well.",NULL,NULL,5,"https://iba-world.com/suffering-bastard/","./img/cocktails/IBA-NE-21-Suffering-Bastard.jpg","30 ml Cognac or Brandy;30 ml Gin;15 ml Fresh Lime Juice;2 Dashes Angostura Bitters;Top up Ginger Beer"
80,"Tequila Sunrise","Contemporary Classics","Pour tequila and orange juice directly into highball glass filled with ice cubes. Add the grenadine syrup to create chromatic effect (sunrise), do not stir.","Garnish with half orange slice or an orange zest.",NULL,NULL,5,"https://iba-world.com/tequila-sunrise/","./img/cocktails/IBA-CC-29-Tequila-Sunrise-scaled.jpg","45ml Tequila;90 ml Fresh Orange Juice;15 ml Grenadine Syrup"
81,Tipperary,"New Era Drinks","Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.","Garnish with a slice of orange.",NULL,NULL,5,"https://iba-world.com/tipperary/","./img/cocktails/IBA-NE-22-Tipperary.jpg","50 ml Irish Whiskey;25 ml Sweet Red Vermouth;15 ml Green Chartreuse;2 Dashes Angostura Bitters"
82,"Tommy's Margarita","New Era Drinks","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled rocks glass filled with ice.","Garnish with a lime slice.",NULL,NULL,4,"https://iba-world.com/tommys-margarita/","./img/cocktails/IBA-NE-23-Tommy-Margarita.jpg","60 ml Tequila Agave 100% Reposado;30 ml Fresh Lime Juice (Persiano);30 ml Agave Syrup (1/2 Water + 1/2 Agave Nectar)"
83,Tuxedo,"The Unforgettables","Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.","Garnish with cherry and lemon zest.",NULL,NULL,3,"https://iba-world.com/tuxedo/","./img/cocktails/IBA-TU-30-Tuxedo.jpg","30 ml Old Tom Gin;30 ml Dry Vermouth;1/2 Bar Spoon Maraschino Luxardo;1/4 Bar Spoon Absinthe;3 Dashes Orange Bitters"
84,VE.N.TO,"New Era Drinks","Pour all ingredients into the shaker. Shake vigorously with ice. Strain into a chilled small tumbler glass filled with ice.","Garnish with lemon zest and white grapes.",NULL,"If desired water can be replaced by chamomile infusion in the honey mix.",3,"https://iba-world.com/ve-n-to/","./img/cocktails/IBA-NE-26-VE.N.TO_-1.jpg","45 ml White Smooth Grappa;22.5 ml Fresh Lemon Juice;15 ml Honey mix (replace water with chamomile);15 ml Chamomile cordial;10ml (Optional) Egg White"
85,Vesper,"Contemporary Classics","Pour all ingredients into a cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.","Lemon zest.",NULL,NULL,5,"https://iba-world.com/vesper/","./img/cocktails/IBA-CC-30-Vesper-scaled.jpg","45 ml Gin;15 ml Vodka;7.5 ml Lillet Blanc"
86,"Vieux Carre","The Unforgettables","Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.","Garnish with orange zest and maraschino cherry.",NULL,NULL,2,"https://iba-world.com/vieux-carre/","./img/cocktails/IBA-TU-31-Vieus-Carre.jpg","30 ml Rye Whiskey;30 ml Cognac;30 ml Sweet Vermouth;1 Bar Spoon Be´ne´dictine;2 Dashes Peychaud’s Bitters"
87,"Whiskey Sour","The Unforgettables","Pour all ingredients into a cocktail shaker filled with ice. Shake well. Strain into cobbler glass. If served ""On the rocks"", strain ingredients into an old fashioned glass filled with ice.","Garnish with a half orange slice and maraschino cherry, optionally use orange zest.",NULL,"If egg white is used shake little harder to release and incorporate the foam from the egg white.",10,"https://iba-world.com/whiskey-sour/","./img/cocktails/IBA-TU-32-Whiskey-Sour.jpg","45 ml Bourbon Whiskey;25 ml Fresh Lemon Juice;20 ml Sugar Syrup;20 ml Egg White (Optional)"
88,"White Lady","The Unforgettables","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",NULL,NULL,NULL,7,"https://iba-world.com/white-lady/","./img/cocktails/IBA-TU-33-White-Lady.jpg",40 ml Gin;30 ml Triple Sec;20 ml Fresh Lemon Juice
89,"Yellow Bird","New Era Drinks","Pour all ingredients into a cocktail shaker, shake well with ice, strain into chilled cocktail glass.",NULL,NULL,NULL,5,"https://iba-world.com/yellow-bird/","./img/cocktails/IBA-NE-25-Yellow-Bird.jpg","30 ml White Rum;15 ml Galliano;15 ml Triple Sec;15 ml Fresh Lime Juice"
90,Zombie,"Contemporary Classics","Add all ingredients into an electric blender with 170 grams of cracked ice. With pulse bottom blend for a few seconds. Serve in a tall tumbler glass.","Garnish with mint leaves.",NULL,"Donn's Mix: 2 parts of fresh yellow grapefruit and 1 part of cinnamon syrup.",2,"https://iba-world.com/zombie/","./img/cocktails/IBA-CC-31-Zombie-scaled.jpg",45 ml Jamaican dark rum;45 ml Gold Puerto Rican rum;30 ml Demerara Rum;20 ml Fresh Lime Juice;15 ml Falernum;15 ml Donn’s Mix;1 tsp Grenadine Syrup;1 dash Angostura Bitters;6 drops Pernod
